Impact Probabilities and Periods of Close Approaches:

Overall Impact Probabilities (1/distance method):

Time: 2024-01-01 00:00:00, Probability: 1.666667E-09
Time: 2024-01-01 17:30:03.593634, Probability: 1.663300E-09
Time: 2024-01-01 18:00:03.696309, Probability: 1.663204E-09
Time: 2024-01-01 18:30:03.798985, Probability: 1.663109E-09
Time: 2024-01-01 19:00:03.901660, Probability: 1.663013E-09
Time: 2024-01-01 19:30:04.004335, Probability: 1.662917E-09
Time: 2024-01-01 20:00:04.107010, Probability: 1.662822E-09
Time: 2024-01-01 20:30:04.209686, Probability: 1.662726E-09
Time: 2024-01-01 21:00:04.312361, Probability: 1.662630E-09
Time: 2024-01-01 21:30:04.415036, Probability: 1.662535E-09
Time: 2024-01-01 22:00:04.517711, Probability: 1.662439E-09
Time: 2024-01-01 22:30:04.620387, Probability: 1.662344E-09
Time: 2024-01-01 23:00:04.723062, Probability: 1.662248E-09
Time: 2024-01-01 23:30:04.825737, Probability: 1.662153E-09
Time: 2024-01-02 00:00:04.928413, Probability: 1.662057E-09
Time: 2024-01-02 00:30:05.031088, Probability: 1.661962E-09
Time: 2024-01-02 01:00:05.133763, Probability: 1.661866E-09
Time: 2024-01-02 01:30:05.236438, Probability: 1.661771E-09
Time: 2024-01-02 02:00:05.339114, Probability: 1.661675E-09
Time: 2024-01-02 02:30:05.441789, Probability: 1.661580E-09
Time: 2024-01-02 03:00:05.544464, Probability: 1.661485E-09
Time: 2024-01-02 03:30:05.647139, Probability: 1.661389E-09
Time: 2024-01-02 04:00:05.749815, Probability: 1.661294E-09
Time: 2024-01-02 04:30:05.852490, Probability: 1.661199E-09
Time: 2024-01-02 05:00:05.955165, Probability: 1.661104E-09
Time: 2024-01-02 05:30:06.057840, Probability: 1.661008E-09
Time: 2024-01-02 06:00:06.160516, Probability: 1.660913E-09
Time: 2024-01-02 06:30:06.263191, Probability: 1.660818E-09
Time: 2024-01-02 07:00:06.365866, Probability: 1.660723E-09
Time: 2024-01-02 07:30:06.468541, Probability: 1.660628E-09
Time: 2024-01-02 08:00:06.571217, Probability: 1.660533E-09
Time: 2024-01-02 08:30:06.673892, Probability: 1.660438E-09
Time: 2024-01-02 09:00:06.776567, Probability: 1.660343E-09
Time: 2024-01-02 09:30:06.879242, Probability: 1.660248E-09
Time: 2024-01-02 10:00:06.981918, Probability: 1.660153E-09
Time: 2024-01-02 10:30:07.084593, Probability: 1.660058E-09
Time: 2024-01-02 11:00:07.187268, Probability: 1.659963E-09
Time: 2024-01-02 11:30:07.289944, Probability: 1.659868E-09
Time: 2024-01-02 12:00:07.392619, Probability: 1.659773E-09
Time: 2024-01-02 12:30:07.495294, Probability: 1.659678E-09
Time: 2024-01-02 13:00:07.597969, Probability: 1.659583E-09
Time: 2024-01-02 13:30:07.700645, Probability: 1.659488E-09
Time: 2024-01-02 14:00:07.803320, Probability: 1.659393E-09
Time: 2024-01-02 14:30:07.905995, Probability: 1.659299E-09
Time: 2024-01-02 15:00:08.008670, Probability: 1.659204E-09
Time: 2024-01-02 15:30:08.111346, Probability: 1.659109E-09
Time: 2024-01-02 16:00:08.214021, Probability: 1.659014E-09
Time: 2024-01-02 16:30:08.316696, Probability: 1.658920E-09
Time: 2024-01-02 17:00:08.419371, Probability: 1.658825E-09
Time: 2024-01-02 17:30:08.522047, Probability: 1.658730E-09
Time: 2024-01-02 18:00:08.624722, Probability: 1.658636E-09
Time: 2024-01-02 18:30:08.727397, Probability: 1.658541E-09
Time: 2024-01-02 19:00:08.830072, Probability: 1.658447E-09
Time: 2024-01-02 19:30:08.932748, Probability: 1.658352E-09
Time: 2024-01-02 20:00:09.035423, Probability: 1.658258E-09
Time: 2024-01-02 20:30:09.138098, Probability: 1.658163E-09
Time: 2024-01-02 21:00:09.240773, Probability: 1.658069E-09
Time: 2024-01-02 21:30:09.343449, Probability: 1.657974E-09
Time: 2024-01-02 22:00:09.446124, Probability: 1.657880E-09
Time: 2024-01-02 22:30:09.548799, Probability: 1.657785E-09
Time: 2024-01-02 23:00:09.651475, Probability: 1.657691E-09
Time: 2024-01-02 23:30:09.754150, Probability: 1.657597E-09
Time: 2024-01-03 00:00:09.856825, Probability: 1.657502E-09
Time: 2024-01-03 00:30:09.959500, Probability: 1.657408E-09
Time: 2024-01-03 01:00:10.062176, Probability: 1.657314E-09
Time: 2024-01-03 01:30:10.164851, Probability: 1.657219E-09
Time: 2024-01-03 02:00:10.267526, Probability: 1.657125E-09
Time: 2024-01-03 02:30:10.370201, Probability: 1.657031E-09
Time: 2024-01-03 03:00:10.472877, Probability: 1.656937E-09
Time: 2024-01-03 03:30:10.575552, Probability: 1.656843E-09
Time: 2024-01-03 04:00:10.678227, Probability: 1.656748E-09
Time: 2024-01-03 04:30:10.780902, Probability: 1.656654E-09
Time: 2024-01-03 05:00:10.883578, Probability: 1.656560E-09
Time: 2024-01-03 05:30:10.986253, Probability: 1.656466E-09
Time: 2024-01-03 06:00:11.088928, Probability: 1.656372E-09
Time: 2024-01-03 06:30:11.191603, Probability: 1.656278E-09
Time: 2024-01-03 07:00:11.294279, Probability: 1.656184E-09
Time: 2024-01-03 07:30:11.396954, Probability: 1.656090E-09
Time: 2024-01-03 08:00:11.499629, Probability: 1.655996E-09
Time: 2024-01-03 08:30:11.602304, Probability: 1.655902E-09
Time: 2024-01-03 09:00:11.704980, Probability: 1.655808E-09
Time: 2024-01-03 09:30:11.807655, Probability: 1.655715E-09
Time: 2024-01-03 10:00:11.910330, Probability: 1.655621E-09
Time: 2024-01-03 10:30:12.013006, Probability: 1.655527E-09
Time: 2024-01-03 11:00:12.115681, Probability: 1.655433E-09
Time: 2024-01-03 11:30:12.218356, Probability: 1.655339E-09
Time: 2024-01-03 12:00:12.321031, Probability: 1.655246E-09
Time: 2024-01-03 12:30:12.423707, Probability: 1.655152E-09
Time: 2024-01-03 13:00:12.526382, Probability: 1.655058E-09
Time: 2024-01-03 13:30:12.629057, Probability: 1.654965E-09
Time: 2024-01-03 14:00:12.731732, Probability: 1.654871E-09
Time: 2024-01-03 14:30:12.834408, Probability: 1.654777E-09
Time: 2024-01-03 15:00:12.937083, Probability: 1.654684E-09
Time: 2024-01-03 15:30:13.039758, Probability: 1.654590E-09
Time: 2024-01-03 16:00:13.142433, Probability: 1.654497E-09
Time: 2024-01-03 16:30:13.245109, Probability: 1.654403E-09
Time: 2024-01-03 17:00:13.347784, Probability: 1.654310E-09
Time: 2024-01-03 17:30:13.450459, Probability: 1.654216E-09
Time: 2024-01-03 18:00:13.553134, Probability: 1.654123E-09
Time: 2024-01-03 18:30:13.655810, Probability: 1.654029E-09
Time: 2024-01-03 19:00:13.758485, Probability: 1.653936E-09
Time: 2024-01-03 19:30:13.861160, Probability: 1.653843E-09
Time: 2024-01-03 20:00:13.963835, Probability: 1.653749E-09
Time: 2024-01-03 20:30:14.066511, Probability: 1.653656E-09
Time: 2024-01-03 21:00:14.169186, Probability: 1.653563E-09
Time: 2024-01-03 21:30:14.271861, Probability: 1.653469E-09
Time: 2024-01-03 22:00:14.374537, Probability: 1.653376E-09
Time: 2024-01-03 22:30:14.477212, Probability: 1.653283E-09
Time: 2024-01-03 23:00:14.579887, Probability: 1.653190E-09
Time: 2024-01-03 23:30:14.682562, Probability: 1.653096E-09
Time: 2024-01-04 00:00:14.785238, Probability: 1.653003E-09
Time: 2024-01-04 00:30:14.887913, Probability: 1.652910E-09
Time: 2024-01-04 01:00:14.990588, Probability: 1.652817E-09
Time: 2024-01-04 01:30:15.093263, Probability: 1.652724E-09
Time: 2024-01-04 02:00:15.195939, Probability: 1.652631E-09
Time: 2024-01-04 02:30:15.298614, Probability: 1.652538E-09
Time: 2024-01-04 03:00:15.401289, Probability: 1.652445E-09
Time: 2024-01-04 03:30:15.503964, Probability: 1.652352E-09
Time: 2024-01-04 04:00:15.606640, Probability: 1.652259E-09
Time: 2024-01-04 04:30:15.709315, Probability: 1.652166E-09
Time: 2024-01-04 05:00:15.811990, Probability: 1.652073E-09
Time: 2024-01-04 05:30:15.914665, Probability: 1.651980E-09
Time: 2024-01-04 06:00:16.017341, Probability: 1.651887E-09
Time: 2024-01-04 06:30:16.120016, Probability: 1.651795E-09
Time: 2024-01-04 07:00:16.222691, Probability: 1.651702E-09
Time: 2024-01-04 07:30:16.325366, Probability: 1.651609E-09
Time: 2024-01-04 08:00:16.428042, Probability: 1.651516E-09
Time: 2024-01-04 08:30:16.530717, Probability: 1.651424E-09
Time: 2024-01-04 09:00:16.633392, Probability: 1.651331E-09
Time: 2024-01-04 09:30:16.736068, Probability: 1.651238E-09
Time: 2024-01-04 10:00:16.838743, Probability: 1.651146E-09
Time: 2024-01-04 10:30:16.941418, Probability: 1.651053E-09
Time: 2024-01-04 11:00:17.044093, Probability: 1.650960E-09
Time: 2024-01-04 11:30:17.146769, Probability: 1.650868E-09
Time: 2024-01-04 12:00:17.249444, Probability: 1.650775E-09
Time: 2024-01-04 12:30:17.352119, Probability: 1.650683E-09
Time: 2024-01-04 13:00:17.454794, Probability: 1.650590E-09
Time: 2024-01-04 13:30:17.557470, Probability: 1.650498E-09
Time: 2024-01-04 14:00:17.660145, Probability: 1.650405E-09
Time: 2024-01-04 14:30:17.762820, Probability: 1.650313E-09
Time: 2024-01-04 15:00:17.865495, Probability: 1.650221E-09
Time: 2024-01-04 15:30:17.968171, Probability: 1.650128E-09
Time: 2024-01-04 16:00:18.070846, Probability: 1.650036E-09
Time: 2024-01-04 16:30:18.173521, Probability: 1.649943E-09
Time: 2024-01-04 17:00:18.276196, Probability: 1.649851E-09
Time: 2024-01-04 17:30:18.378872, Probability: 1.649759E-09
Time: 2024-01-04 18:00:18.481547, Probability: 1.649667E-09
Time: 2024-01-04 18:30:18.584222, Probability: 1.649574E-09
Time: 2024-01-04 19:00:18.686897, Probability: 1.649482E-09
Time: 2024-01-04 19:30:18.789573, Probability: 1.649390E-09
Time: 2024-01-04 20:00:18.892248, Probability: 1.649298E-09
Time: 2024-01-04 20:30:18.994923, Probability: 1.649206E-09
Time: 2024-01-04 21:00:19.097599, Probability: 1.649114E-09
Time: 2024-01-04 21:30:19.200274, Probability: 1.649022E-09
Time: 2024-01-04 22:00:19.302949, Probability: 1.648930E-09
Time: 2024-01-04 22:30:19.405624, Probability: 1.648838E-09
Time: 2024-01-04 23:00:19.508300, Probability: 1.648746E-09
Time: 2024-01-04 23:30:19.610975, Probability: 1.648654E-09
Time: 2024-01-05 00:00:19.713650, Probability: 1.648562E-09
Time: 2024-01-05 00:30:19.816325, Probability: 1.648470E-09
Time: 2024-01-05 01:00:19.919001, Probability: 1.648378E-09
Time: 2024-01-05 01:30:20.021676, Probability: 1.648286E-09
Time: 2024-01-05 02:00:20.124351, Probability: 1.648194E-09
Time: 2024-01-05 02:30:20.227026, Probability: 1.648102E-09
Time: 2024-01-05 03:00:20.329702, Probability: 1.648011E-09
Time: 2024-01-05 03:30:20.432377, Probability: 1.647919E-09
Time: 2024-01-05 04:00:20.535052, Probability: 1.647827E-09
Time: 2024-01-05 04:30:20.637727, Probability: 1.647735E-09
Time: 2024-01-05 05:00:20.740403, Probability: 1.647644E-09
Time: 2024-01-05 05:30:20.843078, Probability: 1.647552E-09
Time: 2024-01-05 06:00:20.945753, Probability: 1.647460E-09
Time: 2024-01-05 06:30:21.048428, Probability: 1.647369E-09
Time: 2024-01-05 07:00:21.151104, Probability: 1.647277E-09
Time: 2024-01-05 07:30:21.253779, Probability: 1.647186E-09
Time: 2024-01-05 08:00:21.356454, Probability: 1.647094E-09
Time: 2024-01-05 08:30:21.459130, Probability: 1.647003E-09
Time: 2024-01-05 09:00:21.561805, Probability: 1.646911E-09
Time: 2024-01-05 09:30:21.664480, Probability: 1.646820E-09
Time: 2024-01-05 10:00:21.767155, Probability: 1.646728E-09
Time: 2024-01-05 10:30:21.869831, Probability: 1.646637E-09
Time: 2024-01-05 11:00:21.972506, Probability: 1.646545E-09
Time: 2024-01-05 11:30:22.075181, Probability: 1.646454E-09
Time: 2024-01-05 12:00:22.177856, Probability: 1.646363E-09
Time: 2024-01-05 12:30:22.280532, Probability: 1.646272E-09
Time: 2024-01-05 13:00:22.383207, Probability: 1.646180E-09
Time: 2024-01-05 13:30:22.485882, Probability: 1.646089E-09
Time: 2024-01-05 14:00:22.588557, Probability: 1.645998E-09
Time: 2024-01-05 14:30:22.691233, Probability: 1.645907E-09
Time: 2024-01-05 15:00:22.793908, Probability: 1.645815E-09
Time: 2024-01-05 15:30:22.896583, Probability: 1.645724E-09
Time: 2024-01-05 16:00:22.999258, Probability: 1.645633E-09
Time: 2024-01-05 16:30:23.101934, Probability: 1.645542E-09
Time: 2024-01-05 17:00:23.204609, Probability: 1.645451E-09
Time: 2024-01-05 17:30:23.307284, Probability: 1.645360E-09
Time: 2024-01-05 18:00:23.409960, Probability: 1.645269E-09
Time: 2024-01-05 18:30:23.512635, Probability: 1.645178E-09
Time: 2024-01-05 19:00:23.615310, Probability: 1.645087E-09
Time: 2024-01-05 19:30:23.717985, Probability: 1.644996E-09
Time: 2024-01-05 20:00:23.820661, Probability: 1.644905E-09
Time: 2024-01-05 20:30:23.923336, Probability: 1.644814E-09
Time: 2024-01-05 21:00:24.026011, Probability: 1.644723E-09
Time: 2024-01-05 21:30:24.128686, Probability: 1.644633E-09
Time: 2024-01-05 22:00:24.231362, Probability: 1.644542E-09
Time: 2024-01-05 22:30:24.334037, Probability: 1.644451E-09
Time: 2024-01-05 23:00:24.436712, Probability: 1.644360E-09
Time: 2024-01-05 23:30:24.539387, Probability: 1.644269E-09
Time: 2024-01-06 00:00:24.642063, Probability: 1.644179E-09
Time: 2024-01-06 00:30:24.744738, Probability: 1.644088E-09
Time: 2024-01-06 01:00:24.847413, Probability: 1.643997E-09
Time: 2024-01-06 01:30:24.950088, Probability: 1.643907E-09
Time: 2024-01-06 02:00:25.052764, Probability: 1.643816E-09
Time: 2024-01-06 02:30:25.155439, Probability: 1.643726E-09
Time: 2024-01-06 03:00:25.258114, Probability: 1.643635E-09
Time: 2024-01-06 03:30:25.360789, Probability: 1.643544E-09
Time: 2024-01-06 04:00:25.463465, Probability: 1.643454E-09
Time: 2024-01-06 04:30:25.566140, Probability: 1.643364E-09
Time: 2024-01-06 05:00:25.668815, Probability: 1.643273E-09
Time: 2024-01-06 05:30:25.771491, Probability: 1.643183E-09
Time: 2024-01-06 06:00:25.874166, Probability: 1.643092E-09
Time: 2024-01-06 06:30:25.976841, Probability: 1.643002E-09
Time: 2024-01-06 07:00:26.079516, Probability: 1.642912E-09
Time: 2024-01-06 07:30:26.182192, Probability: 1.642821E-09
Time: 2024-01-06 08:00:26.284867, Probability: 1.642731E-09
Time: 2024-01-06 08:30:26.387542, Probability: 1.642641E-09
Time: 2024-01-06 09:00:26.490217, Probability: 1.642550E-09
Time: 2024-01-06 09:30:26.592893, Probability: 1.642460E-09
Time: 2024-01-06 10:00:26.695568, Probability: 1.642370E-09
Time: 2024-01-06 10:30:26.798243, Probability: 1.642280E-09
Time: 2024-01-06 11:00:26.900918, Probability: 1.642190E-09
Time: 2024-01-06 11:30:27.003594, Probability: 1.642100E-09
Time: 2024-01-06 12:00:27.106269, Probability: 1.642010E-09
Time: 2024-01-06 12:30:27.208944, Probability: 1.641920E-09
Time: 2024-01-06 13:00:27.311619, Probability: 1.641829E-09
Time: 2024-01-06 13:30:27.414295, Probability: 1.641739E-09
Time: 2024-01-06 14:00:27.516970, Probability: 1.641650E-09
Time: 2024-01-06 14:30:27.619645, Probability: 1.641560E-09
Time: 2024-01-06 15:00:27.722320, Probability: 1.641470E-09
Time: 2024-01-06 15:30:27.824996, Probability: 1.641380E-09
Time: 2024-01-06 16:00:27.927671, Probability: 1.641290E-09
Time: 2024-01-06 16:30:28.030346, Probability: 1.641200E-09
Time: 2024-01-06 17:00:28.133022, Probability: 1.641110E-09
Time: 2024-01-06 17:30:28.235697, Probability: 1.641020E-09
Time: 2024-01-06 18:00:28.338372, Probability: 1.640931E-09
Time: 2024-01-06 18:30:28.441047, Probability: 1.640841E-09
Time: 2024-01-06 19:00:28.543723, Probability: 1.640751E-09
Time: 2024-01-06 19:30:28.646398, Probability: 1.640662E-09
Time: 2024-01-06 20:00:28.749073, Probability: 1.640572E-09
Time: 2024-01-06 20:30:28.851748, Probability: 1.640482E-09
Time: 2024-01-06 21:00:28.954424, Probability: 1.640393E-09
Time: 2024-01-06 21:30:29.057099, Probability: 1.640303E-09
Time: 2024-01-06 22:00:29.159774, Probability: 1.640214E-09
Time: 2024-01-06 22:30:29.262449, Probability: 1.640124E-09
Time: 2024-01-06 23:00:29.365125, Probability: 1.640034E-09
Time: 2024-01-06 23:30:29.467800, Probability: 1.639945E-09
Time: 2024-01-07 00:00:29.570475, Probability: 1.639856E-09
Time: 2024-01-07 00:30:29.673150, Probability: 1.639766E-09
Time: 2024-01-07 01:00:29.775826, Probability: 1.639677E-09
Time: 2024-01-07 01:30:29.878501, Probability: 1.639587E-09
Time: 2024-01-07 02:00:29.981176, Probability: 1.639498E-09
Time: 2024-01-07 02:30:30.083851, Probability: 1.639409E-09
Time: 2024-01-07 03:00:30.186527, Probability: 1.639319E-09
Time: 2024-01-07 03:30:30.289202, Probability: 1.639230E-09
Time: 2024-01-07 04:00:30.391877, Probability: 1.639141E-09
Time: 2024-01-07 04:30:30.494553, Probability: 1.639052E-09
Time: 2024-01-07 05:00:30.597228, Probability: 1.638963E-09
Time: 2024-01-07 05:30:30.699903, Probability: 1.638873E-09
Time: 2024-01-07 06:00:30.802578, Probability: 1.638784E-09
Time: 2024-01-07 06:30:30.905254, Probability: 1.638695E-09
Time: 2024-01-07 07:00:31.007929, Probability: 1.638606E-09
Time: 2024-01-07 07:30:31.110604, Probability: 1.638517E-09
Time: 2024-01-07 08:00:31.213279, Probability: 1.638428E-09
Time: 2024-01-07 08:30:31.315955, Probability: 1.638339E-09
Time: 2024-01-07 09:00:31.418630, Probability: 1.638250E-09
Time: 2024-01-07 09:30:31.521305, Probability: 1.638161E-09
Time: 2024-01-07 10:00:31.623980, Probability: 1.638072E-09
Time: 2024-01-07 10:30:31.726656, Probability: 1.637983E-09
Time: 2024-01-07 11:00:31.829331, Probability: 1.637894E-09
Time: 2024-01-07 11:30:31.932006, Probability: 1.637806E-09
Time: 2024-01-07 12:00:32.034681, Probability: 1.637717E-09
Time: 2024-01-07 12:30:32.137357, Probability: 1.637628E-09
Time: 2024-01-07 13:00:32.240032, Probability: 1.637539E-09
Time: 2024-01-07 13:30:32.342707, Probability: 1.637451E-09
Time: 2024-01-07 14:00:32.445382, Probability: 1.637362E-09
Time: 2024-01-07 14:30:32.548058, Probability: 1.637273E-09
Time: 2024-01-07 15:00:32.650733, Probability: 1.637185E-09
Time: 2024-01-07 15:30:32.753408, Probability: 1.637096E-09
Time: 2024-01-07 16:00:32.856084, Probability: 1.637007E-09
Time: 2024-01-07 16:30:32.958759, Probability: 1.636919E-09
Time: 2024-01-07 17:00:33.061434, Probability: 1.636830E-09
Time: 2024-01-07 17:30:33.164109, Probability: 1.636742E-09
Time: 2024-01-07 18:00:33.266785, Probability: 1.636653E-09
Time: 2024-01-07 18:30:33.369460, Probability: 1.636565E-09
Time: 2024-01-07 19:00:33.472135, Probability: 1.636476E-09
Time: 2024-01-07 19:30:33.574810, Probability: 1.636388E-09
Time: 2024-01-07 20:00:33.677486, Probability: 1.636300E-09
Time: 2024-01-07 20:30:33.780161, Probability: 1.636211E-09
Time: 2024-01-07 21:00:33.882836, Probability: 1.636123E-09
Time: 2024-01-07 21:30:33.985511, Probability: 1.636035E-09
Time: 2024-01-07 22:00:34.088187, Probability: 1.635946E-09
Time: 2024-01-07 22:30:34.190862, Probability: 1.635858E-09
Time: 2024-01-07 23:00:34.293537, Probability: 1.635770E-09
Time: 2024-01-07 23:30:34.396212, Probability: 1.635682E-09
Time: 2024-01-08 00:00:34.498888, Probability: 1.635594E-09
Time: 2024-01-08 00:30:34.601563, Probability: 1.635505E-09
Time: 2024-01-08 01:00:34.704238, Probability: 1.635417E-09
Time: 2024-01-08 01:30:34.806913, Probability: 1.635329E-09
Time: 2024-01-08 02:00:34.909589, Probability: 1.635241E-09
Time: 2024-01-08 02:30:35.012264, Probability: 1.635153E-09
Time: 2024-01-08 03:00:35.114939, Probability: 1.635065E-09
Time: 2024-01-08 03:30:35.217615, Probability: 1.634977E-09
Time: 2024-01-08 04:00:35.320290, Probability: 1.634889E-09
Time: 2024-01-08 04:30:35.422965, Probability: 1.634801E-09
Time: 2024-01-08 05:00:35.525640, Probability: 1.634713E-09
Time: 2024-01-08 05:30:35.628316, Probability: 1.634626E-09
Time: 2024-01-08 06:00:35.730991, Probability: 1.634538E-09
Time: 2024-01-08 06:30:35.833666, Probability: 1.634450E-09
Time: 2024-01-08 07:00:35.936341, Probability: 1.634362E-09
Time: 2024-01-08 07:30:36.039017, Probability: 1.634274E-09
Time: 2024-01-08 08:00:36.141692, Probability: 1.634187E-09
Time: 2024-01-08 08:30:36.244367, Probability: 1.634099E-09
Time: 2024-01-08 09:00:36.347042, Probability: 1.634011E-09
Time: 2024-01-08 09:30:36.449718, Probability: 1.633924E-09
Time: 2024-01-08 10:00:36.552393, Probability: 1.633836E-09
Time: 2024-01-08 10:30:36.655068, Probability: 1.633748E-09
Time: 2024-01-08 11:00:36.757743, Probability: 1.633661E-09
Time: 2024-01-08 11:30:36.860419, Probability: 1.633573E-09
Time: 2024-01-08 12:00:36.963094, Probability: 1.633486E-09
Time: 2024-01-08 12:30:37.065769, Probability: 1.633398E-09
Time: 2024-01-08 13:00:37.168444, Probability: 1.633311E-09
Time: 2024-01-08 13:30:37.271120, Probability: 1.633224E-09
Time: 2024-01-08 14:00:37.373795, Probability: 1.633136E-09
Time: 2024-01-08 14:30:37.476470, Probability: 1.633049E-09
Time: 2024-01-08 15:00:37.579146, Probability: 1.632961E-09
Time: 2024-01-08 15:30:37.681821, Probability: 1.632874E-09
Time: 2024-01-08 16:00:37.784496, Probability: 1.632787E-09
Time: 2024-01-08 16:30:37.887171, Probability: 1.632700E-09
Time: 2024-01-08 17:00:37.989847, Probability: 1.632612E-09
Time: 2024-01-08 17:30:38.092522, Probability: 1.632525E-09
Time: 2024-01-08 18:00:38.195197, Probability: 1.632438E-09
Time: 2024-01-08 18:30:38.297872, Probability: 1.632351E-09
Time: 2024-01-08 19:00:38.400548, Probability: 1.632264E-09
Time: 2024-01-08 19:30:38.503223, Probability: 1.632177E-09
Time: 2024-01-08 20:00:38.605898, Probability: 1.632090E-09
Time: 2024-01-08 20:30:38.708573, Probability: 1.632002E-09
Time: 2024-01-08 21:00:38.811249, Probability: 1.631915E-09
Time: 2024-01-08 21:30:38.913924, Probability: 1.631828E-09
Time: 2024-01-08 22:00:39.016599, Probability: 1.631742E-09
Time: 2024-01-08 22:30:39.119274, Probability: 1.631655E-09
Time: 2024-01-08 23:00:39.221950, Probability: 1.631568E-09
Time: 2024-01-08 23:30:39.324625, Probability: 1.631481E-09
Time: 2024-01-09 00:00:39.427300, Probability: 1.631394E-09
Time: 2024-01-09 00:30:39.529975, Probability: 1.631307E-09
Time: 2024-01-09 01:00:39.632651, Probability: 1.631220E-09
Time: 2024-01-09 01:30:39.735326, Probability: 1.631134E-09
Time: 2024-01-09 02:00:39.838001, Probability: 1.631047E-09
Time: 2024-01-09 02:30:39.940677, Probability: 1.630960E-09
Time: 2024-01-09 03:00:40.043352, Probability: 1.630874E-09
Time: 2024-01-09 03:30:40.146027, Probability: 1.630787E-09
Time: 2024-01-09 04:00:40.248702, Probability: 1.630700E-09
Time: 2024-01-09 04:30:40.351378, Probability: 1.630614E-09
Time: 2024-01-09 05:00:40.454053, Probability: 1.630527E-09
Time: 2024-01-09 05:30:40.556728, Probability: 1.630441E-09
Time: 2024-01-09 06:00:40.659403, Probability: 1.630354E-09
Time: 2024-01-09 06:30:40.762079, Probability: 1.630268E-09
Time: 2024-01-09 07:00:40.864754, Probability: 1.630181E-09
Time: 2024-01-09 07:30:40.967429, Probability: 1.630095E-09
Time: 2024-01-09 08:00:41.070104, Probability: 1.630008E-09
Time: 2024-01-09 08:30:41.172780, Probability: 1.629922E-09
Time: 2024-01-09 09:00:41.275455, Probability: 1.629836E-09
Time: 2024-01-09 09:30:41.378130, Probability: 1.629749E-09
Time: 2024-01-09 10:00:41.480805, Probability: 1.629663E-09
Time: 2024-01-09 10:30:41.583481, Probability: 1.629577E-09
Time: 2024-01-09 11:00:41.686156, Probability: 1.629490E-09
Time: 2024-01-09 11:30:41.788831, Probability: 1.629404E-09
Time: 2024-01-09 12:00:41.891506, Probability: 1.629318E-09
Time: 2024-01-09 12:30:41.994182, Probability: 1.629232E-09
Time: 2024-01-09 13:00:42.096857, Probability: 1.629146E-09
Time: 2024-01-09 13:30:42.199532, Probability: 1.629060E-09
Time: 2024-01-09 14:00:42.302208, Probability: 1.628974E-09
Time: 2024-01-09 14:30:42.404883, Probability: 1.628888E-09
Time: 2024-01-09 15:00:42.507558, Probability: 1.628802E-09
Time: 2024-01-09 15:30:42.610233, Probability: 1.628716E-09
Time: 2024-01-09 16:00:42.712909, Probability: 1.628630E-09
Time: 2024-01-09 16:30:42.815584, Probability: 1.628544E-09
Time: 2024-01-09 17:00:42.918259, Probability: 1.628458E-09
Time: 2024-01-09 17:30:43.020934, Probability: 1.628372E-09
Time: 2024-01-09 18:00:43.123610, Probability: 1.628286E-09
